iter	Passed	Remaining
786	1199	324
787	1200	323
788	1202	321
789	1203	319
790	1205	318
791	1206	316
792	1207	315
793	1209	313
794	1210	312
795	1211	310
796	1212	308
797	1214	307
798	1215	305
799	1216	304
800	1218	302
801	1219	301
802	1220	299
803	1222	297
804	1223	296
805	1224	294
806	1225	293
807	1227	291
808	1228	289
809	1229	288
810	1230	286
811	1231	285
812	1233	283
813	1234	282
814	1235	280
815	1237	278
816	1238	277
817	1239	275
818	1240	274
819	1241	272
820	1242	270
821	1244	269
822	1245	267
823	1246	266
824	1248	264
825	1249	263
826	1250	261
827	1252	260
828	1253	258
829	1255	257
830	1256	255
831	1257	253
832	1259	252
833	1260	250
834	1261	249
835	1263	247
836	1264	246
837	1265	244
838	1266	243
839	1268	241
840	1269	240
841	1270	238
842	1272	236
843	1273	235
844	1274	233
845	1275	232
846	1277	230
847	1278	229
848	1279	227
849	1280	226
850	1282	224
851	1283	222
852	1284	221
853	1285	219
854	1286	218
855	1288	216
856	1289	215
857	1290	213
858	1291	212
859	1293	210
860	1294	208
861	1295	207
862	1296	205
863	1297	204
864	1299	202
865	1300	201
866	1301	199
867	1303	198
868	1304	196
869	1305	195
870	1307	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1314	186
876	1315	184
877	1316	182
878	1317	181
879	1318	179
880	1319	178
881	1320	176
882	1322	175
883	1323	173
884	1325	172
885	1326	170
886	1327	169
887	1328	167
888	1330	166
889	1331	164
890	1332	163
891	1334	161
892	1335	160
893	1336	158
894	1337	156
895	1338	155
896	1340	153
897	1341	152
898	1343	150
899	1344	149
900	1345	147
901	1347	146
902	1348	144
903	1349	143
904	1351	141
905	1352	140
906	1353	138
907	1354	137
908	1355	135
909	1356	134
910	1358	132
911	1359	131
912	1360	129
913	1361	128
914	1363	126
915	1364	125
916	1365	123
917	1367	122
918	1368	120
919	1369	119
920	1370	117
921	1371	116
922	1373	114
923	1374	113
924	1375	111
925	1376	110
926	1378	108
927	1379	107
928	1380	105
929	1381	104
930	1383	102
931	1384	101
932	1385	99
933	1386	97
934	1388	96
935	1389	94
936	1390	93
937	1391	91
938	1393	90
939	1394	89
940	1395	87
941	1397	86
942	1398	84
943	1400	83
944	1401	81
945	1403	80
946	1404	78
947	1405	77
948	1407	75
949	1408	74
950	1409	72
951	1410	71
952	1412	69
953	1413	68
954	1414	66
955	1416	65
956	1417	63
957	1418	62
958	1420	60
959	1421	59
960	1422	57
961	1424	56
962	1425	54
963	1426	53
964	1427	51
965	1428	50
966	1430	48
967	1431	47
968	1432	45
969	1433	44
970	1434	42
971	1436	41
972	1437	39
973	1438	38
974	1440	36
975	1441	35
976	1442	33
977	1443	32
978	1445	31
979	1446	29
980	1448	28
981	1449	26
982	1450	25
983	1452	23
984	1453	22
985	1454	20
986	1455	19
987	1456	17
988	1458	16
989	1459	14
990	1460	13
991	1462	11
992	1463	10
993	1464	8
994	1465	7
995	1467	5
996	1468	4
997	1469	2
998	1471	1
999	1472	0
